;NOMBRE;NOMBRE-VIA;TIPO DE LUGAR;DISTRITO;DISTANCIA_SEDES;name;address;DISTANCIA_BICIS;DISTANCIA TOTAL
125;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Guzmán el Bueno;Calle Guzmán el Bueno nº 1;POINT (4500718.902899205 -413656.93627218);6579.335205352905
140;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Paseo de la Habana 42;Paseo de la Habana nº 42;POINT (4502857.962574543 -410848.9132512583);6585.184388593593
114;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Pintor Rosales;Paseo del Pintor Rosales frente al nº 38;POINT (4500386.191205122 -414456.9691261234);6647.293889827895
145;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Castellana 106;Paseo de la Castellana nº 106;POINT (4502353.618489555 -411149.2188625898);6674.989122113853
155;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);José Abascal;Calle José Abascal nº 33;POINT (4501580.593681588 -411971.8317759682);6677.756188864909
202;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Quevedo;Glorieta de Quevedo nº 5;POINT (4501058.271498838 -412689.2573789555);6703.010525492187
57;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Santa Cruz del Marcenado;Calle Santa Cruz del Marcenado nº 24;POINT (4500598.677849147 -413577.588164081);6720.510670967506
167;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Paseo de la Habana 63;Paseo de la Habana nº 63;POINT (4503361.560818942 -410338.4259175071);6726.636193740399
115;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Quintana;Calle Quintana nº 11;POINT (4500396.054112006 -414111.4739888803);6731.80300920042
152;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza de San Juan de la Cruz;Plaza de San Juan de la Cruz nº 11;POINT (4501938.029434577 -411363.5194487605);6809.396384981539
157;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);General Álvarez de Castro;Calle del General Álvarez de Castro nº 1;POINT (4501144.955986317 -412343.6680423389);6813.051034838275
248;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Santa Engracia 87;Calle Santa Engracia nº 87;POINT (4501319.382496442 -412088.3699950955);6815.532201113967
3;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza Conde Suchil;Plaza del Conde del Valle de Súchil nº 3;POINT (4500679.707306497 -412940.3068148262);6912.964085412888
